TransactionID,StoreID,StoreCity,CustomerID,CustomerSegment,TransactionDateTime,ProductID,ProductName,Category,Quantity,UnitPrice,DiscountPercent,TotalAmount,PaymentMethod
TXN318716,STR007,Metro City,CUST49373,VIP,2024-04-06 21:20:00,P002,Fresh Tomatoes 1kg,Fresh Produce,4,8.2,10,29.52,Mobile Payment
TXN596519,STR017,East Town,CUST69321,VIP,2024-06-10 18:46:00,P004,Samsung TV 55inch,Electronics,2,4500.0,0,9000.0,Cash
TXN773819,STR004,Capital City,CUST23995,New,2024-10-31 17:29:00,P006,Fresh Bread,Bakery,9,3.5,10,28.35,Credit Card
TXN801719,STR005,North Port,CUST60867,Premium,2024-06-25 08:27:00,P008,Chicken Breast 1kg,Meat & Poultry,3,65.0,0,195.0,Credit Card
TXN135937,STR016,Metro City,CUST46408,Regular,2024-04-21 18:09:00,P005,Shampoo 400ml,Personal Care,5,28.9,0,144.5,Cash
TXN557168,STR002,North Port,CUST25738,VIP,2024-06-03 17:50:00,P009,Rice 5kg,Groceries,9,55.0,0,495.0,Debit Card
TXN854289,STR009,North Port,CUST45326,VIP,2024-12-11 15:35:00,P010,Bananas 1kg,Fresh Produce,9,12.5,0,112.5,Cash
TXN210074,STR004,Downtown,CUST34628,Regular,2024-12-14 21:43:00,P004,Samsung TV 55inch,Electronics,5,4500.0,0,22500.0,Cash
TXN225281,STR004,East Town,CUST84403,VIP,2024-08-10 15:42:00,P005,Shampoo 400ml,Personal Care,10,28.9,0,289.0,Debit Card
TXN328567,STR014,North Port,CUST84352,New,2024-08-12 18:12:00,P005,Shampoo 400ml,Personal Care,10,28.9,10,260.1,Mobile Payment
TXN685011,STR012,Central City,CUST20738,VIP,2024-11-30 20:51:00,P009,Rice 5kg,Groceries,2,55.0,15,93.5,Cash
TXN922095,STR019,Coastal Bay,CUST82971,Premium,2024-06-13 12:16:00,P005,Shampoo 400ml,Personal Care,3,28.9,0,86.7,Credit Card
TXN570480,STR014,Mountain View,CUST28803,Regular,2024-12-16 11:45:00,P004,Samsung TV 55inch,Electronics,6,4500.0,0,27000.0,Debit Card
TXN427951,STR010,East Town,CUST60964,Premium,2024-03-06 08:35:00,P009,Rice 5kg,Groceries,10,55.0,0,550.0,Cash
TXN864525,STR002,Mountain View,CUST54403,VIP,2024-12-20 10:04:00,P004,Samsung TV 55inch,Electronics,4,4500.0,0,18000.0,Cash
TXN639495,STR005,Coastal Bay,CUST21874,VIP,2024-04-09 21:54:00,P002,Fresh Tomatoes 1kg,Fresh Produce,5,8.2,0,41.0,Debit Card
TXN181386,STR010,South Beach,CUST13806,Premium,2024-07-07 10:04:00,P002,Fresh Tomatoes 1kg,Fresh Produce,10,8.2,0,82.0,Credit Card
TXN107653,STR006,Capital City,CUST52848,VIP,2024-06-17 11:33:00,P002,Fresh Tomatoes 1kg,Fresh Produce,8,8.2,0,65.6,Cash
TXN192967,STR007,East Town,CUST24704,VIP,2024-11-24 22:27:00,P008,Chicken Breast 1kg,Meat & Poultry,9,65.0,5,555.75,Debit Card
TXN766942,STR009,Metro City,CUST60785,VIP,2024-09-06 14:15:00,P005,Shampoo 400ml,Personal Care,9,28.9,0,260.1,Credit Card
TXN176890,STR003,Downtown,CUST63714,VIP,2024-12-26 13:10:00,P003,Laundry Detergent,Household Items,3,32.0,15,81.6,Mobile Payment
TXN863249,STR001,Midtown,CUST17486,New,2024-06-28 17:31:00,P006,Fresh Bread,Bakery,8,3.5,5,26.6,Cash
TXN154699,STR004,Central City,CUST65579,New,2024-07-14 17:38:00,P005,Shampoo 400ml,Personal Care,1,28.9,0,28.9,Credit Card
TXN253263,STR016,Midtown,CUST74206,Regular,2024-05-09 08:03:00,P008,Chicken Breast 1kg,Meat & Poultry,5,65.0,0,325.0,Debit Card
TXN823441,STR001,Midtown,CUST33679,VIP,2024-09-18 13:46:00,P010,Bananas 1kg,Fresh Produce,8,12.5,0,100.0,Debit Card
TXN564512,STR011,Metro City,CUST92846,New,2024-03-27 17:31:00,P006,Fresh Bread,Bakery,7,3.5,0,24.5,Cash
TXN285044,STR010,South Beach,CUST75514,New,2024-05-24 16:36:00,P009,Rice 5kg,Groceries,4,55.0,0,220.0,Credit Card
TXN384000,STR005,South Beach,CUST99885,Regular,2024-10-04 13:46:00,P005,Shampoo 400ml,Personal Care,9,28.9,0,260.1,Debit Card
TXN331579,STR002,Capital City,CUST51881,Regular,2024-12-11 19:52:00,P010,Bananas 1kg,Fresh Produce,1,12.5,0,12.5,Debit Card
TXN924447,STR002,Capital City,CUST96346,New,2024-09-14 19:12:00,P001,Olive Oil 1L,Groceries,10,45.5,0,455.0,Debit Card
TXN443608,STR011,Downtown,CUST97162,New,2024-01-02 09:25:00,P004,Samsung TV 55inch,Electronics,7,4500.0,0,31500.0,Cash
TXN759993,STR009,East Town,CUST24921,Regular,2024-01-10 16:42:00,P001,Olive Oil 1L,Groceries,2,45.5,0,91.0,Cash
TXN728127,STR014,Coastal Bay,CUST66193,New,2024-04-05 16:48:00,P003,Laundry Detergent,Household Items,8,32.0,5,243.2,Debit Card
TXN838131,STR001,North Port,CUST72958,Premium,2024-02-11 21:59:00,P005,Shampoo 400ml,Personal Care,5,28.9,0,144.5,Credit Card
TXN422220,STR012,East Town,CUST70735,Regular,2024-05-02 08:20:00,P002,Fresh Tomatoes 1kg,Fresh Produce,10,8.2,0,82.0,Debit Card
TXN937061,STR002,Midtown,CUST22857,Regular,2024-04-18 11:15:00,P006,Fresh Bread,Bakery,9,3.5,5,29.93,Credit Card
TXN801763,STR015,North Port,CUST45619,Regular,2024-11-17 09:33:00,P007,Milk 1L,Dairy,10,9.8,0,98.0,Debit Card
TXN877666,STR018,Central City,CUST63057,New,2024-04-27 16:00:00,P004,Samsung TV 55inch,Electronics,7,4500.0,0,31500.0,Cash
TXN743894,STR020,Midtown,CUST79835,New,2024-01-27 20:13:00,P008,Chicken Breast 1kg,Meat & Poultry,7,65.0,0,455.0,Mobile Payment
TXN585763,STR002,East Town,CUST68936,VIP,2024-11-28 21:09:00,P001,Olive Oil 1L,Groceries,3,45.5,0,136.5,Cash
TXN103917,STR006,Midtown,CUST98297,Premium,2024-05-13 13:08:00,P002,Fresh Tomatoes 1kg,Fresh Produce,1,8.2,0,8.2,Mobile Payment
TXN338247,STR001,Central City,CUST30712,Premium,2024-02-15 16:20:00,P009,Rice 5kg,Groceries,7,55.0,0,385.0,Cash
TXN252559,STR003,Coastal Bay,CUST31611,VIP,2024-07-09 16:40:00,P002,Fresh Tomatoes 1kg,Fresh Produce,2,8.2,0,16.4,Debit Card
TXN534101,STR001,Coastal Bay,CUST58600,New,2024-07-18 21:50:00,P002,Fresh Tomatoes 1kg,Fresh Produce,7,8.2,0,57.4,Debit Card
TXN416775,STR011,Capital City,CUST89824,Premium,2024-04-10 12:06:00,P006,Fresh Bread,Bakery,8,3.5,0,28.0,Mobile Payment
TXN814791,STR003,Capital City,CUST51626,New,2024-11-26 08:41:00,P002,Fresh Tomatoes 1kg,Fresh Produce,8,8.2,0,65.6,Mobile Payment
TXN908874,STR001,Midtown,CUST24997,VIP,2024-03-03 19:17:00,P008,Chicken Breast 1kg,Meat & Poultry,3,65.0,0,195.0,Debit Card
TXN513085,STR004,North Port,CUST18493,New,2024-12-25 11:32:00,P004,Samsung TV 55inch,Electronics,4,4500.0,0,18000.0,Credit Card
TXN621695,STR003,East Town,CUST69450,VIP,2024-06-15 15:08:00,P003,Laundry Detergent,Household Items,10,32.0,15,272.0,Debit Card
TXN529706,STR002,Central City,CUST59589,New,2024-01-21 19:35:00,P006,Fresh Bread,Bakery,7,3.5,0,24.5,Cash
TXN608779,STR004,South Beach,CUST91104,Regular,2024-07-10 19:55:00,P006,Fresh Bread,Bakery,4,3.5,0,14.0,Cash
TXN951992,STR017,East Town,CUST91832,New,2024-09-02 20:51:00,P007,Milk 1L,Dairy,6,9.8,0,58.8,Mobile Payment
TXN325251,STR001,Capital City,CUST53383,New,2024-06-06 11:49:00,P006,Fresh Bread,Bakery,10,3.5,0,35.0,Cash
TXN278698,STR001,Coastal Bay,CUST36984,New,2024-10-24 10:08:00,P001,Olive Oil 1L,Groceries,6,45.5,10,245.7,Debit Card
TXN113609,STR014,Central City,CUST47021,Regular,2024-10-23 13:56:00,P010,Bananas 1kg,Fresh Produce,2,12.5,15,21.25,Cash
TXN445343,STR007,Coastal Bay,CUST73409,Regular,2024-05-12 12:10:00,P003,Laundry Detergent,Household Items,1,32.0,0,32.0,Mobile Payment
TXN816866,STR007,Downtown,CUST48639,Regular,2024-12-18 10:49:00,P005,Shampoo 400ml,Personal Care,8,28.9,0,231.2,Mobile Payment
TXN313738,STR018,Downtown,CUST15774,Regular,2024-04-06 12:08:00,P004,Samsung TV 55inch,Electronics,3,4500.0,0,13500.0,Mobile Payment
